Position,Candidate,Party,Votes,% Vote Share,Valid Votes,constituency,Year
2,Noor-ul-Haq Qadri,IND,14745,19.0,74683,NA-33,1997
3,Malik Darya Khan Zakhakhel,IND,7270,10.0,74683,NA-33,1997
4,Eng. Noor Alam,IND,6869,9.0,74683,NA-33,1997
5,Mian Gul Afridi,IND,5844,8.0,74683,NA-33,1997
6,Haji M. Shah Afridi,IND,4634,6.0,74683,NA-33,1997
7,Rashid Gul,IND,3182,4.0,74683,NA-33,1997
8,Imran Khan Afridi,IND,2764,4.0,74683,NA-33,1997
9,Sahabzada S. M. Umar Banori,IND,2485,3.0,74683,NA-33,1997
10,Haji Ahmad Khan Kukikhel,IND,2203,3.0,74683,NA-33,1997
11,Faizullah Shah,IND,1544,2.0,74683,NA-33,1997
12,Akhunzada M. Anwar,IND,1333,2.0,74683,NA-33,1997
13,Ali Akbar,IND,1063,1.0,74683,NA-33,1997
14,Pir Roohullah Shah Banori,IND,655,1.0,74683,NA-33,1997
15,Dr. Nusrat Ali Afridi,IND,584,1.0,74683,NA-33,1997
16,Saidra Hassan,IND,362,0.0,74683,NA-33,1997
17,Malik Waris Khan Afridi,IND,343,0.0,74683,NA-33,1997
18,Khursheed Khan Afridi,IND,320,0.0,74683,NA-33,1997
19,Abdul Rafiq,IND,282,0.0,74683,NA-33,1997
20,Haji Nawab Khan,IND,269,0.0,74683,NA-33,1997
21,Naveed Kamal,IND,266,0.0,74683,NA-33,1997
22,Afrasiab Afridi,IND,252,0.0,74683,NA-33,1997
23,Maj. (R) Bakhat H. Shinwari,IND,252,0.0,74683,NA-33,1997
24,Saif-ur-Rehman Shinwari,IND,245,0.0,74683,NA-33,1997
25,Rafiullah Shinwari,IND,229,0.0,74683,NA-33,1997
26,Saidan Shah Shinwari,IND,184,0.0,74683,NA-33,1997
27,Ziarat Khan Zakhakhel,IND,121,0.0,74683,NA-33,1997
28,M. Hashim Khan,IND,90,0.0,74683,NA-33,1997
29,Akhtar Jan,IND,89,0.0,74683,NA-33,1997
30,Sharbat Ali,IND,56,0.0,74683,NA-33,1997
31,Inayatullah Afridi,IND,51,0.0,74683,NA-33,1997
32,Khitab Gul Shinwari,IND,22,0.0,74683,NA-33,1997
1,Malik Haji Baz Gul Afridi,IND,16670,31.0,53613,NA-34,1997
2,Malik Noor Sher,IND,7057,13.0,53613,NA-34,1997
3,Said Khan,IND,5582,10.0,53613,NA-34,1997
4,Masood Khan Afridi,IND,4206,8.0,53613,NA-34,1997
5,M. Nadir Shah,IND,4045,7.0,53613,NA-34,1997
6,Syed Shakirullah Shah,IND,3189,6.0,53613,NA-34,1997
7,Said Wazir Khan,IND,2966,5.0,53613,NA-34,1997
8,Zahir Shah Storiani,IND,2554,5.0,53613,NA-34,1997
9,Haji M. Jan Khan Afridi,IND,2209,4.0,53613,NA-34,1997
10,Ibrahim Afridi,IND,1213,2.0,53613,NA-34,1997
11,Zahir Shah,IND,1090,2.0,53613,NA-34,1997
12,Malik Haji Feroz,IND,551,1.0,53613,NA-34,1997
13,Rooh-ul-Amin,IND,458,1.0,53613,NA-34,1997
14,Nasrullah,IND,414,1.0,53613,NA-34,1997
15,Taj Khan,IND,294,1.0,53613,NA-34,1997
16,Ghulam Hassan Afridi,IND,281,1.0,53613,NA-34,1997
17,Malik Taj Ali Afridi,IND,152,0.0,53613,NA-34,1997
18,M. Azam Afridi,IND,116,0.0,53613,NA-34,1997
19,Khunaikhel,IND,90,0.0,53613,NA-34,1997
20,Malik Haji Fateh Khan,IND,88,0.0,53613,NA-34,1997
21,Malik Said Amir,IND,87,0.0,53613,NA-34,1997
22,Tahoor-ul-Islam,IND,77,0.0,53613,NA-34,1997
23,Abdul Razzaq,IND,48,0.0,53613,NA-34,1997
24,Qayoom Khan,IND,48,0.0,53613,NA-34,1997
25,Noor Zaman,IND,40,0.0,53613,NA-34,1997
26,Jan Bahadur Khan,IND,31,0.0,53613,NA-34,1997
27,Malik Anayatullah Afridi,IND,26,0.0,53613,NA-34,1997
28,Javed Iqbal,IND,23,0.0,53613,NA-34,1997
29,Malik Haji Gul Wali Khan,IND,8,0.0,53613,NA-34,1997
1,Syed Zafar Ali Shah,PML-N,67500,64.0,104199,NA-35,1997
2,Syed Nayyar Hussain Bokhari,PPP,29847,28.0,104199,NA-35,1997
3,Imran Khan,PTI,5868,6.0,104199,NA-35,1997
4,Wasaal Ahmad Shahid,Others,577,1.0,104199,NA-35,1997
5,Nadeem Mukhtar Ch.,IND,407,0.0,104199,NA-35,1997
1,Shahid Khaqan Abbasi,PML-N,65194,59.0,108348,NA-36,1997
2,Z. Babar Awan Adv.,Others,21768,20.0,108348,NA-36,1997
3,Javed Iqbal Satti,IND,21386,19.0,108348,NA-36,1997
1,Ch .M. Khurshid Zaman,PML-N,75567,60.0,124620,NA-37,1997
2,Raja Pervaiz Ashraf,PPP,44511,35.0,124620,NA-37,1997
3,Malik Khalid Mazhar,PTI,3291,3.0,124620,NA-37,1997
4,Zahoor Alam Bhatti,PPP-SB,1251,1.0,124620,NA-37,1997
1,Sheikh Rasheed Ahmad,PML-N,72183,66.0,107750,NA-38,1997
2,Naheed Khan,PPP,24714,23.0,107750,NA-38,1997
3,Badshah Mir Khan Afridi,IND,6228,6.0,107750,NA-38,1997
4,M. Akmal Mirza,PTI,3806,3.0,107750,NA-38,1997
5,Haji M. Salim Khan Cheema,Others,669,1.0,107750,NA-38,1997
6,A. Z. Malik Abdul Hameed,IND,150,0.0,107750,NA-38,1997
1,M. Ijaz-ul-Haq,PML-N,87392,69.0,125485,NA-39,1997
2,Raja Shahid Zafar,PPP,31838,25.0,125485,NA-39,1997
3,Ch. Zamurrad Hussain Adv.,PTI,5174,4.0,125485,NA-39,1997
4,Safia Yameen,IND,754,1.0,125485,NA-39,1997
5,Talib Hussain Qureshi Adv.,Others,188,0.0,125485,NA-39,1997
6,Syed Imtiaz Hussain Bokhari,IND,139,0.0,125485,NA-39,1997
1,Ch. Nisar Ali Khan,PML-N,79255,62.0,125094,NA-40,1997
2,Sardar Shoaib Mumtaz Khan,PPP,41008,32.0,125094,NA-40,1997
3,Ch. Ghulam Jilani,PTI,3588,3.0,125094,NA-40,1997
4,Abdul Qadir Khan,Others,1243,1.0,125094,NA-40,1997
1,Sheikh Aftab Ahmad,PML-N,67275,58.0,111749,NA-41,1997
2,Malik M. Aslam Khan,PPP,35204,31.0,111749,NA-41,1997
3,Hafiz M. Saeed,IND,4094,4.0,111749,NA-41,1997
4,Eng. Raees Ahmad Khan,PTI,3416,3.0,111749,NA-41,1997
5,Maqbool Illahi Siddiqi,IND,1760,2.0,111749,NA-41,1997
1,Malik Lal Khan,PML-N,83921,55.0,148488,NA-42,1997
2,Malik Atta Muhammad,PPP,60319,39.0,148488,NA-42,1997
3,Khaki Jan,PTI,4248,3.0,148488,NA-42,1997
1,Lt. Gen. (R) Malik Abdul Majeed,PML-N,84900,68.0,122811,NA-43,1997
2,Raja Munawar Ahmad,PPP,32293,26.0,122811,NA-43,1997
3,Ch. M. Ali Khan,IND,2977,2.0,122811,NA-43,1997
4,Syed M. Asghar Ali Shah,PTI,1671,1.0,122811,NA-43,1997
5,Syed Munawar Hussain Naqvi,IND,336,0.0,122811,NA-43,1997
6,M. Salim Asghar,IND,318,0.0,122811,NA-43,1997
7,Amanullah Khan,IND,316,0.0,122811,NA-43,1997
1,Sardar Mansoor Hayat Tamman,PML-N,85228,61.0,135529,NA-44,1997
2,N Fozia Behram,Others,45615,33.0,135529,NA-44,1997
3,Alhaj Malik M. Hayat,PTI,2974,2.0,135529,NA-44,1997
4,Malik Lal Khan,IND,1712,1.0,135529,NA-44,1997
1,Raja M. Afazal Khan,PML-N,73212,66.0,109068,NA-45,1997
2,Ch. Farrukh Altaf,PPP,32097,29.0,109068,NA-45,1997
3,M. Riaz Malik,PTI,2801,3.0,109068,NA-45,1997
4,Abdul Majeed Maloot,IND,958,1.0,109068,NA-45,1997
1,Nawabzada Iqbal Mehdi Khan,PML-N,60237,60.0,97440,NA-46,1997
2,Raja Nasir Ali Khan,PPP,31346,31.0,97440,NA-46,1997
3,Raja Fayyaz Asif,Others,2549,3.0,97440,NA-46,1997
4,Tahir Asif Ch.,PTI,2077,2.0,97440,NA-46,1997
5,Mazhar Hussain Mirza,Others,1231,1.0,97440,NA-46,1997
1,Adnan Hayat Noon,PML-N,58284,55.0,104396,NA-47,1997
2,Inam-ul-Haq Paracha,PPP,42192,40.0,104396,NA-47,1997
3,Ishfaq Akhtar,PTI,1610,2.0,104396,NA-47,1997
4,Ch. M. Afzal Gondal,IND,968,1.0,104396,NA-47,1997
5,Haroon Ehsan Paracha,IND,777,1.0,104396,NA-47,1997
6,Ch. M. Iqbal Ramay,IND,565,1.0,104396,NA-47,1997
1,Ch. Ghias Ahmad Mela,PML-N,56948,55.0,101583,NA-48,1997
2,Mian Manazir Ali Ranjha,PPP,38573,37.0,101583,NA-48,1997
3,Rana M. Yaseen,IND,2311,2.0,101583,NA-48,1997
4,Riaz Ahmad Ranjha,PTI,1221,1.0,101583,NA-48,1997
5,M. Hussain Warraich,IND,710,1.0,101583,NA-48,1997
6,Rao Abdul Ghaffar Khan,IND,657,1.0,101583,NA-48,1997
7,Col. (R) Malik Fazl-ur-Rehman,IND,491,0.0,101583,NA-48,1997
8,Mian Saif Ahmad Ranjha,IND,402,0.0,101583,NA-48,1997
9,Ch. Shah Nawaz Ranjha,IND,270,0.0,101583,NA-48,1997
1,Ch. Abdul Hameed,PML-N,67824,62.0,107793,NA-49,1997
2,Malik M. Aslam Kachila,PPP,37104,34.0,107793,NA-49,1997
3,M. Zulfiqar Anwar Bajwa,PTI,1333,1.0,107793,NA-49,1997
4,M. Anwar Khurshid,IND,595,1.0,107793,NA-49,1997
5,Hafiz Abdul Rauf,IND,460,0.0,107793,NA-49,1997
6,Akhtar Salim Qureshi,IND,353,0.0,107793,NA-49,1997
7,Malik Khizar Hayat Awan,IND,124,0.0,107793,NA-49,1997
1,Ch. Anwar Ali Cheema,PML-N,73825,58.0,122518,NA-50,1997
2,Siraj Din Gujjar,PPP,31527,25.0,122518,NA-50,1997
3,Sahabzada Ghulam Naseeruddin Sialvi,IND,6535,5.0,122518,NA-50,1997
4,Syed Nusrat Ali Shah,Others,6459,5.0,122518,NA-50,1997
5,M. Bilal,IND,2169,2.0,122518,NA-50,1997
6,Ch.Tahir Javed Arain,PTI,1203,1.0,122518,NA-50,1997
7,Riaz Amir alias Abdul Haq,IND,800,1.0,122518,NA-50,1997
1,Malik Umer Aslam,PML-N,79666,58.0,133276,NA-51,1997
2,Tanveer Sultan Awan,IND,36617,27.0,133276,NA-51,1997
3,Asif Hussain Virk,PPP,11421,8.0,133276,NA-51,1997
4,M. Aslam Awan,PTI,3917,3.0,133276,NA-51,1997
5,Musarrat Nazir,IND,1655,1.0,133276,NA-51,1997
1,Sardar Shuja M. Khan,PML-N,68959,57.0,118991,NA-52,1997
2,Malik Ghulam M. Tiwana,IND,44805,37.0,118991,NA-52,1997
3,Iftikhar Hussain Aheer,PPP,3137,3.0,118991,NA-52,1997
4,Sardar Naveed Haider Khan,PTI,2090,2.0,118991,NA-52,1997
1,M. Maqbool Ahmad Khan,PML-N,39147,37.0,101726,NA-53,1997
2,Obaidullah Khan Shadikhel,Others,36201,34.0,101726,NA-53,1997
3,Imran Khan,PTI,17859,17.0,101726,NA-53,1997
4,Gul Hamid Khan Rokhri,IND,5650,5.0,101726,NA-53,1997
5,Abdul Rahman,IND,1831,2.0,101726,NA-53,1997
6,Shafaullah Khan,IND,488,0.0,101726,NA-53,1997
7,Mursaleen Khan Khattak,IND,379,0.0,101726,NA-53,1997
8,Sardar Rafiq Khan,IND,171,0.0,101726,NA-53,1997
1,Inamullah Khan,PML-N,53861,48.0,109253,NA-54,1997
2,M. Humair Hayat Rokhri,IND,29638,26.0,109253,NA-54,1997
3,Dr. Sher Afgan Khan Niazi,PPP,20758,18.0,109253,NA-54,1997
4,Abdul Aziz Khan,Others,3640,3.0,109253,NA-54,1997
5,Sardar Rafiq Khan,IND,1356,1.0,109253,NA-54,1997
1,M. Asghar Khan,IND,59584,48.0,120530,NA-55,1997
2,M. Zafarullah Khan,PML-N,58382,47.0,120530,NA-55,1997
3,Shafaullah Khan,IND,1834,1.0,120530,NA-55,1997
4,M. Arshad Faqir,Others,730,1.0,120530,NA-55,1997
1,M. Zafarullah Khan Dhandla,PML-N,60419,50.0,118881,NA-56,1997
2,Rashid Akbar Khan,IND,58462,48.0,118881,NA-56,1997
1,Rana Zahid Tauseef,PML-N,72214,63.0,111681,NA-57,1997
2,Syed M. Makhdoom,IND,19048,17.0,111681,NA-57,1997
3,Mian Zahid Sarfraz,Others,18977,16.0,111681,NA-57,1997
4,Mian Abdul Saboor Tariq,PTI,1442,1.0,111681,NA-57,1997
1,Rai Salahuddin Khan,PML-N,56668,58.0,95025,NA-58,1997
2,Rai Ijaz Hussain,PPP,30032,31.0,95025,NA-58,1997
3,Rai M. Jaffar Khan,IND,4414,4.0,95025,NA-58,1997
4,M. Hayat Khan,PTI,2194,2.0,95025,NA-58,1997
5,Ch. Manzoor Ali,IND,1717,2.0,95025,NA-58,1997
1,Alhaj Mian Nasir Ali Khan,PML-N,46339,45.0,98493,NA-59,1997
2,Zahoor Ahmad Shah,Others,22469,22.0,98493,NA-59,1997
3,Khan Shahadat Ali Khan Baloch,PPP,19869,19.0,98493,NA-59,1997
4,Mehar Maqbool Ahmad Fatiana,IND,5230,5.0,98493,NA-59,1997
5,Rao Khizar Hayat Khan,PTI,1625,2.0,98493,NA-59,1997
6,Mian Shabbir Hassan Khan,IND,1252,1.0,98493,NA-59,1997
7,Zulfiqar Ali,IND,867,1.0,98493,NA-59,1997
8,M. Iqbal,IND,615,1.0,98493,NA-59,1997
9,Molana Ziauddin Azad,IND,227,0.0,98493,NA-59,1997
1,Safdar-ur-Rehman,PML-N,69246,71.0,95515,NA-60,1997
2,Ch. M. Abdullah Ghazi,Others,16850,17.0,95515,NA-60,1997
3,Rao Safdar Ali Khan,IND,5045,5.0,95515,NA-60,1997
4,Maj. (R) Abdul Basit,IND,4374,4.0,95515,NA-60,1997
1,Mian M. Farooq,PML-N,69035,62.0,108343,NA-61,1997
2,Shahid Nazir Ahmad,PPP,36801,33.0,108343,NA-61,1997
3,Zahid Nazir,IND,1387,1.0,108343,NA-61,1997
4,M. Ijaz Virk Adv.,IND,511,0.0,108343,NA-61,1997
5,M. Naeem Tahir,IND,480,0.0,108343,NA-61,1997
6,Ch. M. Rasheed Randhawa,IND,129,0.0,108343,NA-61,1997
1,Raja Nadir Pervaiz Khan,PML-N,56853,68.0,82298,NA-62,1997
2,Ch. Ghulam Mustafa Bajwa,PPP,22637,27.0,82298,NA-62,1997
3,Gul Ijaz Ch.,PTI,863,1.0,82298,NA-62,1997
4,Abdul Rahman Mughal,IND,606,1.0,82298,NA-62,1997
5,Sohail Iqbal Bajwa,IND,481,1.0,82298,NA-62,1997
6,Nisar Ahmad Gujjar,IND,433,1.0,82298,NA-62,1997
7,Ch. M. Akram Randhawa,IND,425,1.0,82298,NA-62,1997
1,Haji M. Akram Ansari,PML-N,62963,66.0,94082,NA-63,1997
2,Haji Riaz Ahmad Ansari,PPP,29889,31.0,94082,NA-63,1997
3,Musharaf Ali Khan Adv.,PTI,942,1.0,94082,NA-63,1997
4,Pir M. Fazal Haq,Others,154,0.0,94082,NA-63,1997
5,M. Mukhtar Rana,IND,134,0.0,94082,NA-63,1997
1,Ch. Sher Ali,PML-N,69782,71.0,96937,NA-64,1997
2,Sheikh M. Aslam Guchha,PPP,25242,26.0,96937,NA-64,1997
3,Imtiaz Naveed,PTI,1741,2.0,96937,NA-64,1997
4,Haji Khalid Saeed,Others,172,0.0,96937,NA-64,1997
1,Mian Abdul Manan,PML-N,72840,65.0,110635,NA-65,1997
2,Mehar Abdul Rashid,PPP,25652,23.0,110635,NA-65,1997
3,Mumtaz Ali Cheema,IND,7729,7.0,110635,NA-65,1997
4,Mian Khalid Sarfraz,PTI,2394,2.0,110635,NA-65,1997
5,Ch. Hanif Ahmad Dogar,IND,1475,1.0,110635,NA-65,1997
6,Kh. Atta-ur-Rehman,PPP-SB,309,0.0,110635,NA-65,1997
7,Dr. Ahmad Saeed Khan,Others,236,0.0,110635,NA-65,1997
1,Qaiser Ahmad Sheikh,IND,39272,38.0,100649,NA-66,1997
2,Syed M. Raza Shah,PML-N,19446,19.0,100649,NA-66,1997
3,Sardarzada Zafar Abbas Syed,PPP,14714,14.0,100649,NA-66,1997
4,Malik Ghulam Abbas Nissoana,IND,13390,13.0,100649,NA-66,1997
5,Sardar M. Ali Shah,IND,10870,10.0,100649,NA-66,1997
6,Malik Rab Nawaz Adv.,IND,836,1.0,100649,NA-66,1997
7,M. Ismail Bodhar Lali,IND,769,1.0,100649,NA-66,1997
8,Ch. Ahmad Khan Daoka,IND,533,1.0,100649,NA-66,1997
9,Hafiz M. Abu Bakar,Others,461,0.0,100649,NA-66,1997
10,Malik M. Nazir Umer,Others,239,0.0,100649,NA-66,1997
11,Hafiz Fazal Ahmad,Others,119,0.0,100649,NA-66,1997
1,Molana Haji M. Rehmatullah,PML-N,52911,50.0,102325,NA-67,1997
2,Makhdoomzada Syed Asad Hayat,PPP,25165,24.0,102325,NA-67,1997
3,Mehar M. Nawaz Khan,IND,22681,21.0,102325,NA-67,1997
4,Ch. M. Khan Chaddar,PTI,1568,1.0,102325,NA-67,1997
1,Nawab Amanullah Khan Sial,PML-N,60490,53.0,111079,NA-68,1997
2,Molana M. Azam Tariq,Others,44796,39.0,111079,NA-68,1997
3,Sahabzada Riaz-ul-Hassan,IND,2697,2.0,111079,NA-68,1997
4,M. Zahid,IND,1081,1.0,111079,NA-68,1997
5,M. Ali Sial,IND,649,1.0,111079,NA-68,1997
6,M. S. Fakhri,IND,619,1.0,111079,NA-68,1997
7,M. Ajmal Nawaz Naul,IND,415,0.0,111079,NA-68,1997
8,Abdul Ghafoor Jhangvi,IND,332,0.0,111079,NA-68,1997
1,Syeda Abida Hussain,PML-N,68577,57.0,118835,NA-69,1997
2,Makhdoom Syed Faisal Saleh Hayat,PPP,44211,36.0,118835,NA-69,1997
3,Molana Abdul Ghafoor Jhangvi,Others,4344,4.0,118835,NA-69,1997
4,Syed Abid Hussain Shah,IND,1703,1.0,118835,NA-69,1997
1,Sahabzada M. Tahir Sultan,PML-N,70662,63.0,109167,NA-70,1997
2,Sahabzada M. Nazeer Sultan,PPP,33483,30.0,109167,NA-70,1997
3,Tajammul Hussain,IND,2158,2.0,109167,NA-70,1997
4,Mulazim Hussain Jafari,IND,1372,1.0,109167,NA-70,1997
5,Sardar Azhar Ali Maken,PTI,822,1.0,109167,NA-70,1997
6,Sahabzada Sultan Abdul Majeed,IND,670,1.0,109167,NA-70,1997
1,Ch. Asad-ur-Rehman,PML-N,77777,64.0,118769,NA-71,1997
2,Khalid Ahmad Khan Kharal,PPP,32036,26.0,118769,NA-71,1997
3,Rai Attiq-ur-Rehman,IND,3743,3.0,118769,NA-71,1997
4,Ghulam Shabbir Khan,IND,2754,2.0,118769,NA-71,1997
5,Ch. Ikram-ul-Haq,PTI,2016,2.0,118769,NA-71,1997
6,Ch. M. Yusuf Javed,IND,443,0.0,118769,NA-71,1997
1,Ch. Abdul Sattar,PML-N,66886,62.0,104471,NA-72,1997
2,Ch. M. Ishfaq,PPP,29701,28.0,104471,NA-72,1997
3,Abdul Rahman,PTI,2038,2.0,104471,NA-72,1997
4,Ch. Abdul Sattar,IND,1848,2.0,104471,NA-72,1997
5,Tanveer Aalam Mian Adv.,Others,1343,1.0,104471,NA-72,1997
6,M. Hanif,IND,706,1.0,104471,NA-72,1997
7,Mian M. Javed Iqbal,IND,621,1.0,104471,NA-72,1997
8,A. G. Aadil,PPP-SB,596,1.0,104471,NA-72,1997
9,M. Aslam,IND,325,0.0,104471,NA-72,1997
10,Mian Manzoor Ahmad Adv. Mudeypuri,IND,210,0.0,104471,NA-72,1997
11,Syed M. Ayub Shah,IND,197,0.0,104471,NA-72,1997
1,Hamza,PML-N,43931,38.0,113425,NA-73,1997
2,Ch. Amjad Ali Warraich,IND,39278,34.0,113425,NA-73,1997
3,Haji M. Ishaq,PPP,23357,20.0,113425,NA-73,1997
4,Mehar M. Sadiq,IND,4474,4.0,113425,NA-73,1997
5,Hamza,IND,1195,1.0,113425,NA-73,1997
6,Ch. Abdul Hameed Kahloon,PPP-SB,758,1.0,113425,NA-73,1997
7,Mushtaq Ahmad Ishtiaq Dhaul,PTI,432,0.0,113425,NA-73,1997
1,Col. Ghulam Sarwar Cheema,PML-N,68236,54.0,122542,NA-74,1997
2,Ch. Hamid Nasir Chattha,Others,45823,37.0,122542,NA-74,1997
3,Ch. Hassan Nawaz,PTI,2761,2.0,122542,NA-74,1997
4,Nasrullah Khan,IND,2492,2.0,122542,NA-74,1997
5,Adnan Sarwar Cheema,IND,1977,2.0,122542,NA-74,1997
6,Syed Safdar Hussain Rizvi,IND,407,0.0,122542,NA-74,1997
7,M. Fayyaz Chattha,IND,376,0.0,122542,NA-74,1997
8,Sabir Ali Ch.,IND,263,0.0,122542,NA-74,1997
9,Malik Abdur Rehman Sadiq,IND,207,0.0,122542,NA-74,1997
1,Afzal Hussain Tarar,PML-N,63925,50.0,123951,NA-75,1997
2,Ch. Mehdi Hassan Bhatti,PPP,51870,41.0,123951,NA-75,1997
3,Ch. Nazar Abbas Bhatti,IND,3144,2.0,123951,NA-75,1997
4,Shahadat Khan Bhatti,PTI,2453,2.0,123951,NA-75,1997
5,Malik M. Wazir Awan,IND,2001,2.0,123951,NA-75,1997
6,Mian Shahid Hussain Khan Bhatti,IND,558,0.0,123951,NA-75,1997
1,Ghulam Dastgir Khan,PML-N,64108,67.0,94307,NA-76,1997
2,Ch. Khalid Humayun,PPP,27044,28.0,94307,NA-76,1997
3,Naveed Anwar Naveed,PTI,2084,2.0,94307,NA-76,1997
4,Raja M. Pervaiz Khan,IND,488,1.0,94307,NA-76,1997
5,Ghulam Qadir Khan,IND,301,0.0,94307,NA-76,1997
6,Qari M. Ikram,JUI-S,232,0.0,94307,NA-76,1997
7,M. Siddiq Nadeem,IND,50,0.0,94307,NA-76,1997
1,Ch. Mehmood Bashir Virk,PML-N,64729,65.0,98583,NA-77,1997
2,Kh. M. Aslam Lone,PPP,27751,28.0,98583,NA-77,1997
3,Khalid Zafar,PTI,2394,2.0,98583,NA-77,1997
4,M. Iqbal Khan Cheema,Others,2150,2.0,98583,NA-77,1997
5,Ch. M. Zahid Javed,IND,647,1.0,98583,NA-77,1997
6,Rana Zahoor Ahmad Khan,PPP-SB,462,0.0,98583,NA-77,1997
7,M. Hussain,IND,234,0.0,98583,NA-77,1997
8,Kh. Khalid Aziz Lone,IND,216,0.0,98583,NA-77,1997
1,Rana Nazir Ahmad Khan,PML-N,69009,68.0,100280,NA-78,1997
2,Ch. M. Abdullah Virk,PPP,21847,21.0,100280,NA-78,1997
3,Ch. M. Boota,PTI,3734,4.0,100280,NA-78,1997
4,Abdul Ghani,IND,2598,3.0,100280,NA-78,1997
5,Ijaz Ahmad Al-Khas,Others,1157,1.0,100280,NA-78,1997
6,Rana Zulqarnain Khan,Others,463,0.0,100280,NA-78,1997
7,Imtiaz Ahmad Virk,IND,428,0.0,100280,NA-78,1997
8,Rana Sagheer Ahmad Khan,IND,384,0.0,100280,NA-78,1997
9,Malik Mehdi Hassan Khan,PPP-SB,338,0.0,100280,NA-78,1997
10,Taj Din Phullan Wali Sarkar,IND,322,0.0,100280,NA-78,1997
1,Ch. Ijaz Ahmad,PML-N,58756,50.0,114900,NA-79,1997
2,Ch. Liaqat Ali Warraich,IND,26985,23.0,114900,NA-79,1997
3,Sardar M. Tariq Raza,PPP,21018,18.0,114900,NA-79,1997
4,Gulzar Hussain,IND,3165,3.0,114900,NA-79,1997
5,Ijaz Ahmad,IND,1256,1.0,114900,NA-79,1997
6,Ghulam Rasool Ranjha Adv.,PTI,959,1.0,114900,NA-79,1997
7,Alhaj Ch. M. Arshad Olakh,Others,627,1.0,114900,NA-79,1997
8,Liaqat Ali,PPP-SB,499,0.0,114900,NA-79,1997
9,Nisar Ahmad,IND,410,0.0,114900,NA-79,1997
10,M. Abbas Warraich,IND,406,0.0,114900,NA-79,1997
11,Ch. M. Nawaz Virk,IND,320,0.0,114900,NA-79,1997
12,Muddasar Qayoom Nahra,IND,294,0.0,114900,NA-79,1997
13,M. Nawaz Malhi,IND,205,0.0,114900,NA-79,1997
1,Ch. Mubashir Hussain,PML-N,87144,59.0,144212,NA-80,1997
2,Nawabzada Ghazanfar Ali Gul,PPP,50716,34.0,144212,NA-80,1997
3,Dr. Syed Shaukat Hussain,PTI,2063,1.0,144212,NA-80,1997
4,Dr. Zahoor Mehdi Faisal,Others,1587,1.0,144212,NA-80,1997
5,Ch. Khalid Asghar Ghural,IND,1233,1.0,144212,NA-80,1997
6,Ch. Irfan Ahmad Safi,IND,620,0.0,144212,NA-80,1997
7,M. Ashraf,IND,491,0.0,144212,NA-80,1997
8,Afrasiab Zafar,IND,358,0.0,144212,NA-80,1997
1,Ch. Shujaat Hussain,PML-N,86903,61.0,138409,NA-81,1997
2,Ch. Ahmad Mukhtar,PPP,41126,29.0,138409,NA-81,1997
3,Ch. Tariq Akram,IND,3444,2.0,138409,NA-81,1997
4,Ch. Afzaal Anwar,PTI,2992,2.0,138409,NA-81,1997
5,Ch. Ajmal Ali Khawar,IND,2135,2.0,138409,NA-81,1997
6,Syed Shaukat Kamal Adv.,PPP-SB,657,0.0,138409,NA-81,1997
7,Abdul Malik Rehmani,IND,530,0.0,138409,NA-81,1997
8,Alhaj Mirza Saeed Baig,Others,426,0.0,138409,NA-81,1997
9,Mirza Atta-ur-Rehman,Others,196,0.0,138409,NA-81,1997
1,Syed Manzoor Hussain Shah,PML-N,88093,56.0,152470,NA-82,1997
2,Haji M. Asghar,PPP,44490,29.0,152470,NA-82,1997
3,Ch. M. Farooq,Others,9928,6.0,152470,NA-82,1997
4,Shahnaz Ahmad,IND,3657,2.0,152470,NA-82,1997
5,Arshad Dad,PTI,3547,2.0,152470,NA-82,1997
6,Irfan Saleem of Nandowal,IND,877,1.0,152470,NA-82,1997
7,Syed Noor-ul-Hasan Shah,IND,746,0.0,152470,NA-82,1997
8,Qamar Zaman,IND,520,0.0,152470,NA-82,1997
9,Sheikh Qamar-uz-Zaman,IND,506,0.0,152470,NA-82,1997
10,Ch. Ayyaz Ahmad,IND,106,0.0,152470,NA-82,1997
1,Mumtaz Ahmad Tarar,PML-N,64233,51.0,122466,NA-83,1997
2,Zafarullah Tarar,PPP,35104,28.0,122466,NA-83,1997
3,Syed M. Mehfooz Shah,IND,14033,11.0,122466,NA-83,1997
4,Masood Ahmad,IND,3131,2.0,122466,NA-83,1997
5,Ch. Ghulam Rasool Adv.,IND,2948,2.0,122466,NA-83,1997
6,Farat Hafeez Sabazwari,Others,1509,1.0,122466,NA-83,1997
7,Maj. Sher M. Gondal,IND,864,1.0,122466,NA-83,1997
8,Munawar Hussain Tarar,IND,644,1.0,122466,NA-83,1997
1,M. Iqbal Bosal,PML-N,56292,57.0,95904,NA-84,1997
2,Nazar M. Gondal,PPP,30749,31.0,95904,NA-84,1997
3,Umar Hayat Laleka,IND,3478,4.0,95904,NA-84,1997
4,Haji M. Afzal,IND,2184,2.0,95904,NA-84,1997
5,Ch. Faiz Ahmad Adv.,PTI,1143,1.0,95904,NA-84,1997
6,Ch. M. Nawaz Bosal,IND,1074,1.0,95904,NA-84,1997
7,M. Aslam Zouq,IND,984,1.0,95904,NA-84,1997
1,Kh. M. Asif,PML-N,64394,76.0,83529,NA-85,1997
